Asobi Asobase,Inkya Impulse,https://anilist.co/anime/101001/Asobi-Asobase/,,https://animethemes.moe/video/AsobiAsobase-ED1-NCBD1080.webm
AoButa,Fukashigi no Karte,https://anilist.co/anime/101291/Seishun-Buta-Yarou-wa-Bunny-Girl-Senpai-no-Yume-wo-Minai/,,https://animethemes.moe/video/Aobuta-ED2-NCBD1080.webm
Sora Yori,"Koko kara, Koko kara",https://anilist.co/anime/99426/Sora-yori-mo-Tooi-Basho/,1,
3-gatsu no Lion 2,I Am Standing,https://anilist.co/anime/98478/3gatsu-no-Lion-2/,2,
HisoMaso,Le temps de la rentree,https://anilist.co/anime/100673/Hisone-to-Masotan/,,
Steins;Gate 0,Last Game,https://anilist.co/anime/21127/SteinsGate-0/,2,
Yuru Campâ–³,Fuyu Biyori,https://anilist.co/anime/98444/Yuru-Camp/,,
Attack on Titan S3,Akatsuki no Chinkonka,https://anilist.co/anime/99147/Shingeki-no-Kyojin-3/,,
Cardcaptor Sakura: Clear Card,Jewelry,https://anilist.co/anime/97881/Cardcaptor-Sakura-Clear-Cardhen/,,
FLCL Alternative,Star Overhead,https://anilist.co/anime/21748/FLCL-Alternative/,,
Girls' Last Tour,More One Night,https://anilist.co/anime/99420/Shoujo-Shuumatsu-Ryokou/,,
Kuzu no Honkai,Heikousen,https://anilist.co/anime/21701/Kuzu-no-Honkai/,,
Little Witch Academia,Toumei na Tsubasa,https://anilist.co/anime/21858/Little-Witch-Academia-TV/,2,
3-gatsu no Lion 2,Kafune,https://anilist.co/anime/98478/3gatsu-no-Lion-2/,,
Houseki no Kuni,Kirameku Hamabe,https://anilist.co/anime/98707/Houseki-no-Kuni/,,
Urahara,KIRAMEKI Lifeline,https://anilist.co/anime/98513/URAHARA/,,
Dragon Maid,Isshukan Communication,https://anilist.co/anime/21776/Kobayashisan-Chi-no-Maidragon/,,
Sakura Quest,Freesia,https://anilist.co/anime/97903/Sakura-Quest/,,
Made in Abyss,"Tabi no Hidarite, Saihate no Migite",https://anilist.co/anime/97986/Made-in-Abyss/,,
Youjo Senki,Los! Los! Los!,https://anilist.co/anime/21613/Youjo-Senki/,,
Flip Flappers,FLIP FLAP FLIP FLAP,https://anilist.co/anime/21714/Flip-Flappers/,,
3-gatsu no Lion,Fighter,https://anilist.co/anime/21366/3gatsu-no-Lion/,,
Mob Psycho 100,Refrain Boy,https://anilist.co/anime/21507/Mob-Psycho-100/,,
KonoSuba,Chiisana Boukensha,https://anilist.co/anime/21202/Kono-Subarashii-Sekai-ni-Shukufuku-wo/,,
ERASED,Sore wa Chiisana Hikari no you na,https://anilist.co/anime/21234/Boku-Dake-ga-Inai-Machi/,,
JoJo Part IV,I Want You,https://anilist.co/anime/21450/JoJo-no-Kimyou-na-Bouken-Diamond-wa-Kudakenai/,,
Haikyuu!! 3,Mashi Mashi,https://anilist.co/anime/21698/Haikyuu-Karasuno-Koukou-VS-Shiratorizawa-Gakuen-Koukou/,,
Re: Zero,STYX HELIX,https://anilist.co/anime/21355/ReZero-kara-Hajimeru-Isekai-Seikatsu/,,
Hibike! Euphonium 2,Vivace,https://anilist.co/anime/21460/Hibike-Euphonium-2/,,
Kabaneri,ninelie,https://anilist.co/anime/21196/Koutetsujou-no-Kabaneri/,,
Yuri!!! on Ice,You Only Live Once,https://anilist.co/anime/21709/Yuri-on-Ice/,,