Arifureta Shokugyou de Sekai Saikyou,,https://anilist.co/anime/100668/Arifureta-Shokugyou-de-Sekai-Saikyou/,,,,,
Assassins Pride,,https://anilist.co/anime/104722/Assassins-Pride/,,,,,
Bakumatsu: Crisis,,https://anilist.co/anime/106568/BAKUMATSU-Crisis/,,,,,
Black Fox,,https://anilist.co/anime/101317/BLACKFOX/,,,,,
Boku no Hero Academia the Movie: Futari no Hero,,https://anilist.co/anime/100723/Boku-no-Hero-Academia-THE-MOVIE-Futari-no-Hero/,,,,,
Cardfight!! Vanguard (2018),,https://anilist.co/anime/101594/Cardfight-Vanguard-2018/,,,,,
Cencoroll Connect,,https://anilist.co/anime/9488/Cencoroll-2/,,,,,2 right?
Circlet Princess,,https://anilist.co/anime/104008/Circlet-Princess/,,,,,
City Hunter: Shinjuku Private Eyes,,https://anilist.co/anime/101345/City-Hunter-Shinjuku-Private-Eyes/,,,,,
Code Geass Fukkatsu no Lelouch,,https://anilist.co/anime/97880/Code-Geass-Fukkatsu-no-Lelouch/,,,,,
Date A Live III,,https://anilist.co/anime/100722/Date-A-Live-III/,,,,,
Dragon Ball Super Movie: Broly ,,https://anilist.co/anime/101302/Dragon-Ball-Super-Broly/,,,,,
Egao no Daika,,https://anilist.co/anime/104674/Egao-no-Daika/,,,,,
Enen no Shouboutai,,https://anilist.co/anime/105310/Enen-no-Shouboutai/,,,,,
Fairy Gone,,https://anilist.co/anime/107418/Fairy-Gone/,,,,,
Girly Air Force,,https://anilist.co/anime/101930/Girly-Air-Force/,,,,,
Godzilla 3: Hoshi wo Kuu Mono,,https://anilist.co/anime/102353/GODZILLA-Hoshi-wo-Kuu-Mono/,,,,,
Grimms Notes The Animation,,https://anilist.co/anime/103735/Grimms-Notes-The-Animation/,,,,,
Hero Mask (2019),,https://anilist.co/anime/110686/HERO-MASK-part-II/,,,,,wait is part 1 eligible? change link if yes
Hug tto! Precure Futari wa Precure Movie: All Stars Memories ,,https://anilist.co/anime/101908/Hugtto-Precure--Futari-wa-Precure-All-Stars-Memories/,,,,,
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,,https://anilist.co/anime/102883/JoJo-no-Kimyou-na-Bouken-Ougon-no-Kaze/,,,,,
K: Seven Stories Movies 1-6,,https://anilist.co/anime/21798/K-SEVEN-STORIES-RB-BLAZE/,,,,,which one is the first one???
Kandagawa Jet Girls,,https://anilist.co/anime/110810/Kandagawa-JET-GIRLS/,,,,,
Karakuri Circus,,https://anilist.co/anime/101336/Karakuri-Circus/,,,,,
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,,https://anilist.co/anime/108554/Keishicho-Tokumubu-Tokushu-Kyoakuhan-TaisakuShitsu-DaiNanaka-Tokunana/,,,,,
Kimetsu no Yaiba,,https://anilist.co/anime/101922/Kimetsu-no-Yaiba/,,,,,
Kouya no Kotobuki Hikoutai,,https://anilist.co/anime/104253/Kouya-no-Kotobuki-Hikoutai/,,,,,
Lupin III: Goodbye Partner,,https://anilist.co/anime/105655/Lupin-III-Goodbye-Partner/,,,,,
Lupin the IIIrd: Mine Fujiko no Uso,,https://anilist.co/anime/107313/Lupin-the-IIIrd-Mine-Fujiko-no-Uso/,,,,,
Mahou Shoujo Lyrical Nanoha: Detonation ,,https://anilist.co/anime/99614/Mahou-Shoujo-Lyrical-Nanoha-Detonation/,,,,,
Mahou Shoujo Tokushusen Asuka,,https://anilist.co/anime/103222/Mahou-Shoujo-Tokushusen-Asuka/,,,,,
Mob Psycho 100 II,,https://anilist.co/anime/101338/Mob-Psycho-100-II/,,,,,
Mobile Suit Gundam NT ,,https://anilist.co/anime/101554/Kidou-Senshi-Gundam-NT/,,,,,
Mutafukaz,,https://anilist.co/anime/100356/Mutafukaz/,,,,,
One Punch Man 2nd Season,,https://anilist.co/anime/97668/One-Punch-Man-2/,,,,,
Revisions,,https://anilist.co/anime/102835/Revisions/,,,,,
Senki Zesshou Symphogear XV,,https://anilist.co/anime/21673/Senki-Zesshou-Symphogear-XV/,,,,,
Servamp Movie: Alice in the Garden ,,https://anilist.co/anime/100537/SERVAMP-Alice-in-the-Garden/,,,,,
Sword Art Online: Alicization,,https://anilist.co/anime/100182/Sword-Art-Online-Alicization/,,,,,
Toaru Kagaku no Accelerator,,https://anilist.co/anime/104463/Toaru-Kagaku-no-Accelerator/,,,,,
Toaru Majutsu no Index III,,https://anilist.co/anime/100185/Toaru-Majutsu-no-Index-III/,,,,,
Trinity Seven Movie 2: Heavens Library to Crimson Lord,,https://anilist.co/anime/103631/Trinity-Seven-Movie--Tenkuu-Toshokan-to-Shinku-no-Maou/,,,,,
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi - Shinsei-hen,,https://anilist.co/anime/21730/Uchuu-Senkan-Yamato-2202-Ai-no-Senshitachi-Koshihen/,,,,,
Ultraman,,https://anilist.co/anime/100663/ULTRAMAN/,,,,,
Usuzumizakura: Garo,,https://anilist.co/anime/101370/Usuzumizakura-GARO/,,,,,
Val x Love,,https://anilist.co/anime/109321/Val-x-Love/,,,,,
W'z,,https://anilist.co/anime/101337/Wz/,,,,,
Youjo Senki Movie,,https://anilist.co/anime/100878/Youjo-Senki-Movie/,,,,,
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,,https://anilist.co/anime/108388/Choujin-Koukouseitachi-wa-Isekai-demo-Yoyuu-de-Ikinuku-you-desu/,,,,,
Doraemon Movie 39: Nobita no Getsumen Tansaki,,https://anilist.co/anime/106493/Doraemon-Nobita-no-Getsumen-Tansaki/,,,,,
Dororo,,https://anilist.co/anime/101347/Dororo/,,,,,
Dr. Stone,,https://anilist.co/anime/105333/Dr-STONE/,,,,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou Ka II,,https://anilist.co/anime/101167/Dungeon-ni-Deai-wo-Motomeru-no-wa-Machigatteiru-Darou-ka-II/,,,,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,,https://anilist.co/anime/101166/Dungeon-ni-Deai-wo-Motomeru-no-wa-Machigatteiru-Darou-ka-Orion-no-Ya/,,,,,
Hangyakusei Million Arthur 2nd Season,,https://anilist.co/anime/104071/Hangyakusei-Million-Arthur-2/,,,,,
Hug tto! Precure,,https://anilist.co/anime/100661/Hugtto-Precure/,,,,,
Isekai Cheat Magician,,https://anilist.co/anime/101547/Isekai-Cheat-Magician/,,,,,
Kemono Friends 2,,https://anilist.co/anime/99624/Kemono-Friends-2/,,,,,
Kemurikusa (TV),,https://anilist.co/anime/101123/Kemurikusa/,,,,,
Kenja no Mago,,https://anilist.co/anime/100112/Kenja-no-Mago/,,,,,
"Maou-sama, Retry!",,https://anilist.co/anime/104252/Maousama-Retry/,,,,,
Pastel Memories,,https://anilist.co/anime/101379/Pastel-Memories/,,,,,
Pocket Monsters Sun & Moon,,https://anilist.co/anime/97634/Pocket-Monsters-Sun--Moon/,,,,,
Radiant,,https://anilist.co/anime/101024/Radiant/,,,,,
Tate no Yuusha no Nariagari,,https://anilist.co/anime/99263/Tate-no-Yuusha-no-Nariagari/,,,,,
Tensei shitara Slime Datta Ken,,https://anilist.co/anime/101280/Tensei-Shitara-Slime-Datta-Ken/,,,,,
Bokutachi wa Benkyou ga Dekinai,,https://anilist.co/anime/103900/Bokutachi-wa-Benkyou-ga-Dekinai/,,,,,
Chuubyou Gekihatsu Boy,,https://anilist.co/anime/109089/Chuubyou-Gekihatsu-Boy/,,,,,
Cinderella Girls Gekijou: Climax Season,,https://anilist.co/anime/105962/Cinderella-Girls-Gekijou-CLIMAX-SEASON/,,,,,
Cinderella Girls Gekijou: Kayou Cinderella Theater 4th Season,,https://anilist.co/anime/108810/Cinderella-Girls-Gekijou-Kayou-Cinderella-Theater-CLIMAX-SEASON/,,,,,
Dumbbell Nan Kilo Moteru?,,https://anilist.co/anime/107226/Dumbbell-Nan-Kilo-Moteru/,,,,,
Endro~!,,https://anilist.co/anime/103301/Endro/,,,,,
Hataage! Kemono Michi,,https://anilist.co/anime/107339/Hataage-Kemono-Michi/,,,,,
Hitoribocchi no Marumaru Seikatsu,,https://anilist.co/anime/101386/Hitoribocchi-no-Marumaru-Seikatsu/,,,,,
Isekai Quartet,,https://anilist.co/anime/104454/Isekai-Quartet/,,,,,
Joshikousei no Mudazukai,,https://anilist.co/anime/105081/Joshikousei-no-Mudazukai/,,,,,
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,https://anilist.co/anime/101921/Kaguyasama-wa-Kokurasetai-Tensaitachi-no-Renai-Zunousen/,,,,,
Kawaiikereba Hentai Demo Suki ni Natte Kuremasu ka?,,https://anilist.co/anime/107961/Kawaikereba-Hentai-demo-Suki-ni-Natte-Kuremasu-ka/,,,,,
LaidBackers,,https://anilist.co/anime/104721/LAIDBACKERS/,,,,,
Machikado Mazoku,,https://anilist.co/anime/107490/Machikado-Mazoku/,,,,,
Nakanohito Genome [Jikkyouchuu],,https://anilist.co/anime/102926/Naka-no-Hito-Genome-Jikkyouchuu/,,,,,
Null Peta,,https://anilist.co/anime/110789/Null-Peta/,,,,,
Osomatsu-san The Movie,,https://anilist.co/anime/104213/Osomatsusan-The-Movie/,,,,,
Rinshi!! Ekoda-chan,,https://anilist.co/anime/104009/Rinshi-Ekodachan/,,,,,
RobiHachi,,https://anilist.co/anime/105928/RobiHachi/,,,,,
Seizei Ganbare! Mahou Shoujo Kurumi,,https://anilist.co/anime/98739/Seizei-Ganbare-Mahou-Shoujo-Kurumi/,,,,,
Sounan Desu ka?,,https://anilist.co/anime/108111/Sounan-desu-ka/,,,,,
Strike Witches: 501 Butai Hasshin Shimasu!,,https://anilist.co/anime/104378/Strike-Witches-501-Butai-Hasshin-Shimasu/,,,,,
Tejina-senpai,,https://anilist.co/anime/105074/Tejina-Senpai/,,,,,
Ueno-san wa Bukiyou,,https://anilist.co/anime/101773/Uenosan-wa-Bukiyou/,,,,,
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",,https://anilist.co/anime/101227/Watashi-Nouryoku-wa-Heikinchi-de-tte-Itta-yo-ne/,,,,,
Actors: Songs Connection,,https://anilist.co/anime/105246/ACTORS-Songs-Connection/,,,,,
Beastars,,https://anilist.co/anime/107660/BEASTARS/,,,,,
Carole & Tuesday,,https://anilist.co/anime/101281/Carole--Tuesday/,,,,,
Dimension High School,,https://anilist.co/anime/104750/Dimension-High-School/,,,,,
Fruits Basket (2019),,https://anilist.co/anime/105334/Fruits-Basket-2019/,,,,,
Hoshiai no Sora,,https://anilist.co/anime/104052/Hoshiai-no-Sora/,,,,,
Katsute Kami Datta Kemono-tachi e,,https://anilist.co/anime/107672/Katsute-Kami-Datta-Kemonotachi-e/,,,,,
Kaze ga Tsuyoku Fuiteiru,,https://anilist.co/anime/101903/Kaze-ga-Tsuyoku-Fuiteiru/,,,,,
Kono Oto Tomare!,,https://anilist.co/anime/103302/Kono-Oto-Tomare/,,,,,
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,,https://anilist.co/anime/97995/Kono-Yo-no-Hate-de-Koi-o-Utau-Shoujo-YUNO/,,,,,
Levius,,https://anilist.co/anime/108598/Levius/,,,,,
Mirai no Mirai ,,https://anilist.co/anime/100749/Mirai-no-Mirai/,,,,,
Mix,,https://anilist.co/anime/103555/Mix/,,,,,
Piano no Mori (TV) 2nd Season,,https://anilist.co/anime/103049/Piano-no-Mori-2-TV/,,,,,
Precure Miracle Universe the Movie,,https://anilist.co/anime/106858/Precure-Miracle-Universe/,,,,,
Sarazanmai,,https://anilist.co/anime/101261/Sarazanmai/,,,,,
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,,https://anilist.co/anime/104157/Seishun-Buta-Yarou-wa-Yumemiru-Shoujo-no-Yume-wo-Minai-Movie/,,,,,
Soukyuu no Fafner: The Beyond,,https://anilist.co/anime/98056/Soukyuu-no-Fafner-Dead-Aggressor--The-Beyond/,,,,,did we remove this?
Try Knights,,https://anilist.co/anime/108444/Try-Knights/,,,,,
Tsurune,,https://anilist.co/anime/100402/Tsurune-Kazemai-Koukou-Kyuudoubu/,,,,,
Wakaokami wa Shougakusei! Movie ,,https://anilist.co/anime/101478/Wakaokami-wa-Shougakusei-Movie/,,,,,
3D Kanojo: Real Girl 2nd Season,,https://anilist.co/anime/102882/3D-Kanojo-Real-Girl-2/,,,,,
5-toubun no Hanayome,,https://anilist.co/anime/103572/5Toubun-no-Hanayome/,,,,,
Domestic na Kanojo,,https://anilist.co/anime/103139/Domestic-na-Kanojo/,,,,,
Given,,https://anilist.co/anime/108430/Given/,,,,,
Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman,,https://anilist.co/anime/100652/Haikarasan-ga-Tooru-Movie-2-Tokyo-Dai-Roman/,,,,,
Karakai Jouzu no Takagi-san S2,,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,,,,,
Meiji Tokyo Renka,,https://anilist.co/anime/99000/Meiji-Tokyo-Renka/,,,,,
Nande Koko ni Sensei ga!?,,https://anilist.co/anime/104325/Nande-Koko-ni-Sensei-ga/,,,,,
Aikatsu Friends!,,https://anilist.co/anime/101043/Aikatsu-Friends/,,,,,
B-Project: Zecchou*Emotion,,https://anilist.co/anime/100186/BPROJECT-ZecchouEmotion/,,,,,
Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,,https://anilist.co/anime/103887/Chiisana-Eiyuu-Kani-to-Tamago-to-Toumei-Ningen/,,,,,
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",,https://anilist.co/anime/103874/Doukyonin-wa-Hiza-Tokidoki-Atama-no-Ue/,,,,,
Hachigatsu no Cinderella Nine,,https://anilist.co/anime/104989/Hachigatsu-no-Cinderella-Nine/,,,,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,,https://anilist.co/anime/108268/Honzuki-no-Gekokujou-Shisho-ni-Naru-Tame-ni-wa-Shudan-wo-Erandeiraremasen/,,,,,
Houkago Saikoro Club,,https://anilist.co/anime/104115/Houkago-Saikoro-Club/,,,,,
King of Prism: Shiny Seven Stars,,https://anilist.co/anime/103870/KING-OF-PRISM-Shiny-Seven-Stars/,,,,,
Kirakira Happy★Hirake! Cocotama,,https://anilist.co/anime/102604/Kira-Kira-Happy--Hirake-Cocotama/,,,,,
Kiratto Pri☆chan,,https://anilist.co/anime/101097/Kiratto-PriChan/,,,,,
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,,https://anilist.co/anime/100965/Love-Live-Sunshine-The-School-Idol-Movie-Over-the-Rainbow/,,,,,
Manaria Friends,,https://anilist.co/anime/21322/Manaria-Friends/,,,,,
Natsume Yuujinchou Movie: Utsusemi ni Musubu ,,https://anilist.co/anime/100268/Natsume-Yuujinchou-Movie-Utsusemi-ni-Musubu/,,,,,
Non Non Biyori Movie: Vacation ,,https://anilist.co/anime/98779/Non-Non-Biyori-Vacation/,,,,,
Oushitsu Kyoushi Heine Movie,,https://anilist.co/anime/104286/Oushitsu-Kyoushi-Heine-Movie/,,,,,
Re:Stage! Dream Days,,https://anilist.co/anime/103048/ReStage-Dream-Days/,,,,,
Starmyu 3rd Season,,https://anilist.co/anime/100280/Star-Mu-3/,,,,,
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",,https://anilist.co/anime/107956/Uchi-no-Ko-no-Tame-Naraba-Ore-wa-Moshikashitara-Maou-mo-Taoseru-Kamo-Shirenai/,,,,,
Watashi ni Tenshi ga Maiorita!,,https://anilist.co/anime/102680/Watashi-ni-Tenshi-ga-Maiorita/,,,,,
Bem,,https://anilist.co/anime/107876/BEM/,,,,,
Boogiepop wa Warawanai (2019),,https://anilist.co/anime/101283/Boogiepop-wa-Warawanai/,,,,,
Bungou Stray Dogs 3rd Season,,https://anilist.co/anime/103223/Bungou-Stray-Dogs-3/,,,,,
Cop Craft,,https://anilist.co/anime/106893/Cop-Craft/,,,,,
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,,https://anilist.co/anime/21718/Fatestay-night-Heavens-Feel-II-lost-butterfly/,,,,,
Granbelm,,https://anilist.co/anime/108147/Granbelm/,,,,,
Ingress,,https://anilist.co/anime/101500/Ingress/,,,,,
Kakegurui××,,https://anilist.co/anime/100876/Kakegurui-/,,,,,
Kanata no Astra,,https://anilist.co/anime/107663/Kanata-no-Astra/,,,,,
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,,https://anilist.co/anime/106918/Lord-ElMelloi-IIsei-no-Jikenbo-Rail-Zeppelin-Grace-note/,,,,,
Mayonaka no Occult Koumuin,,https://anilist.co/anime/102939/Mayonaka-no-Occult-Koumuin/,,,,,
Penguin Highway,,https://anilist.co/anime/101249/Penguin-Highway/,,,,,
Shingeki no Kyojin Season 3 Part 2,,https://anilist.co/anime/104578/Shingeki-no-Kyojin-3-Part-2/,,,,,
Shoumetsu Toshi,,https://anilist.co/anime/101814/Shoumetsu-Toshi/,,,,,
Yakusoku no Neverland,,https://anilist.co/anime/101759/Yakusoku-no-Neverland/,,,,,
Zoku Owarimonogatari ,,https://anilist.co/anime/100815/Zoku-Owarimonogatari/,,,,,
Goblin Slayer,,https://anilist.co/anime/101165/Goblin-Slayer/,,,,,
Irozuku Sekai no Ashita kara,,https://anilist.co/anime/101316/Irozuku-Sekai-no-Ashita-kara/,,,,,
Golden Kamuy,,https://anilist.co/anime/99699/Golden-Kamuy/,,,,,
Conception,,https://anilist.co/anime/101609/CONCEPTION/,,,,,
Zombieland Saga,,https://anilist.co/anime/103871/Zombie-Land-Saga/,,,,,